Cards,"Pr(Win, call)","Pr(Tie, call)","Pr(Fold, call)",Pr(Fold)
"10, K s",0.3082769231,0.01221301775,0.1933038412,0.4911242604
"J, Q s",0.3005928994,0.01206035503,0.2006895272,0.4911242604
"J, K s",0.3128059172,0.01109349112,0.192143606,0.4911242604
"Q, K s",0.3175384615,0.01007573964,0.1880547945,0.4911242604
"A, A o",0.4368031778,0.00321380393,0.06885875793,0.4911242604
"2, 2 o",0.2477981244,0.01503422109,0.2460433941,0.4911242604
"3, 3 o",0.26585583,0.01494147851,0.2280784311,0.4911242604
"4, 4 o",0.2829927251,0.0132218606,0.2126611539,0.4911242604
"5, 5 o",0.300468277,0.01229430758,0.1961131551,0.4911242604
"6, 6 o",0.3155929507,0.01109755936,0.1821852296,0.4911242604
"7, 7 o",0.3311343935,0.01013362173,0.1676077244,0.4911242604
"8, 8 o",0.347375922,0.01049390566,0.151005912,0.4911242604
"9, 9 o",0.3636517996,0.01020575484,0.1350181852,0.4911242604
"10, 10 o",0.3784183521,0.008625187193,0.1218322003,0.4911242604
"J, J o",0.3921152481,0.006694004244,0.1100664873,0.4911242604
"Q, Q o",0.4060460997,0.006498087133,0.09633155284,0.4911242604
"K, K o",0.4199619394,0.004751880469,0.08416191979,0.4911242604
